-10.000000,	 2.56637061435914e+00,	 2.54402111088939e+00,	 2.54402111088940e+00,	 -1.46788692436852e+01,	
-9.990000,	 2.57637061435914e+00,	 2.53560333461431e+00,	 2.53560333461432e+00,	 -1.47152184079531e+01,	
-9.980000,	 2.58637061435914e+00,	 2.52713199845211e+00,	 2.52713199845211e+00,	 -1.46759764596195e+01,	
-9.970000,	 2.59637061435914e+00,	 2.51860794952933e+00,	 2.51860794952934e+00,	 -1.46745091026132e+01,	
-9.960000,	 2.60637061435914e+00,	 2.51003204024378e+00,	 2.51003204024378e+00,	 -1.47108163589358e+01,	
-9.950000,	 2.61637061435914e+00,	 2.50140512817922e+00,	 2.50140512817922e+00,	 -1.47093211295712e+01,	
-9.940000,	 2.62637061435914e+00,	 2.49272807601968e+00,	 2.49272807601969e+00,	 -1.47078119989534e+01,	
-9.930000,	 2.63637061435914e+00,	 2.48400175146315e+00,	 2.48400175146315e+00,	 -1.47062889914294e+01,	
-9.920000,	 2.64637061435914e+00,	 2.47522702713480e+00,	 2.47522702713481e+00,	 -1.46669635712810e+01,	
-9.910000,	 2.65637061435914e+00,	 2.46640478049976e+00,	 2.46640478049977e+00,	 -1.47032014471937e+01,	
-9.900000,	 2.66637061435914e+00,	 2.45753589377534e+00,	 2.45753589377535e+00,	 -1.47016369633849e+01,	
-9.890000,	 2.67637061435914e+00,	 2.44862125384282e+00,	 2.44862125384283e+00,	 -1.46622701476312e+01,	
-9.880000,	 2.68637061435914e+00,	 2.43966175215877e+00,	 2.43966175215878e+00,	 -1.46984667112919e+01,	
-9.870000,	 2.69637061435914e+00,	 2.43065828466589e+00,	 2.43065828466589e+00,	 -1.46590724404390e+01,	
-9.860000,	 2.70637061435914e+00,	 2.42161175170342e+00,	 2.42161175170342e+00,	 -1.46952416092217e+01,	
-9.850000,	 2.71637061435914e+00,	 2.41252305791711e+00,	 2.41252305791712e+00,	 -1.46558200056616e+01,	
-9.840000,	 2.72637061435914e+00,	 2.40339311216879e+00,	 2.40339311216880e+00,	 -1.46919619059080e+01,	
-9.830000,	 2.73637061435914e+00,	 2.39422282744541e+00,	 2.39422282744542e+00,	 -1.46903016609225e+01,	
-9.820000,	 2.74637061435914e+00,	 2.38501312076781e+00,	 2.38501312076781e+00,	 -1.46886278662891e+01,	
-9.810000,	 2.75637061435914e+00,	 2.37576491309896e+00,	 2.37576491309897e+00,	 -1.44730607378487e+01,	
-9.800000,	 2.76637061435914e+00,	 2.36647912925195e+00,	 2.36647912925196e+00,	 -1.44961835361216e+01,	
-9.790000,	 2.77637061435914e+00,	 2.35715669779741e+00,	 2.35715669779741e+00,	 -1.44944693117642e+01,	
-9.780000,	 2.78637061435914e+00,	 2.34779855097072e+00,	 2.34779855097072e+00,	 -1.45190706264509e+01,	
-9.770000,	 2.79637061435914e+00,	 2.33840562457876e+00,	 2.33840562457877e+00,	 -1.45173296431684e+01,	
-9.760000,	 2.80637061435914e+00,	 2.32897885790635e+00,	 2.32897885790636e+00,	 -1.45155753423046e+01,	
-9.750000,	 2.81637061435914e+00,	 2.31951919362230e+00,	 2.31951919362230e+00,	 -1.45138077667889e+01,	
-9.740000,	 2.82637061435914e+00,	 2.31002757768514e+00,	 2.31002757768515e+00,	 -1.45120269608460e+01,	
-9.730000,	 2.83637061435914e+00,	 2.30050495924858e+00,	 2.30050495924859e+00,	 -1.45102329700270e+01,	
-9.720000,	 2.84637061435914e+00,	 2.29095229056651e+00,	 2.29095229056652e+00,	 -1.44820969025190e+01,	
-9.710000,	 2.85637061435914e+00,	 2.28137052689785e+00,	 2.28137052689786e+00,	 -1.45066056227897e+01,	
-9.700000,	 2.86637061435914e+00,	 2.27176062641096e+00,	 2.27176062641097e+00,	 -1.44784434256744e+01,	
-9.690000,	 2.87637061435914e+00,	 2.26212355008791e+00,	 2.26212355008792e+00,	 -1.45029261172458e+01,	
-9.680000,	 2.88637061435914e+00,	 2.25246026162828e+00,	 2.25246026162829e+00,	 -1.45010669340124e+01,	
-9.670000,	 2.89637061435914e+00,	 2.24277172735287e+00,	 2.24277172735288e+00,	 -1.44728659301778e+01,	
-9.660000,	 2.90637061435914e+00,	 2.23305891610704e+00,	 2.23305891610704e+00,	 -1.44709810389542e+01,	
-9.650000,	 2.91637061435914e+00,	 2.22332279916381e+00,	 2.22332279916381e+00,	 -1.44690833789864e+01,	
-9.640000,	 2.92637061435914e+00,	 2.21356435012676e+00,	 2.21356435012677e+00,	 -1.44671730092791e+01,	
-9.630000,	 2.93637061435914e+00,	 2.20378454483267e+00,	 2.20378454483268e+00,	 -1.44652499905120e+01,	
-9.620000,	 2.94637061435914e+00,	 2.19398436125392e+00,	 2.19398436125393e+00,	 -1.44896433238007e+01,	
-9.610000,	 2.95637061435914e+00,	 2.18416477940070e+00,	 2.18416477940070e+00,	 -1.44613662571241e+01,	
-9.600000,	 2.96637061435914e+00,	 2.17432678122300e+00,	 2.17432678122301e+00,	 -1.44594056725878e+01,	
-9.590000,	 2.97637061435914e+00,	 2.16447135051246e+00,	 2.16447135051247e+00,	 -1.44574326992409e+01,	
-9.580000,	 2.98637061435914e+00,	 2.15459947280392e+00,	 2.15459947280393e+00,	 -1.44817763454519e+01,	
-9.570000,	 2.99637061435914e+00,	 2.14471213527694e+00,	 2.14471213527694e+00,	 -1.44534498666161e+01,	
-9.560000,	 3.00637061435914e+00,	 2.13481032665702e+00,	 2.13481032665703e+00,	 -1.44777690911440e+01,	
-9.550000,	 3.01637061435914e+00,	 2.12489503711677e+00,	 2.12489503711678e+00,	 -1.44245947559452e+01,	
-9.540000,	 3.02637061435914e+00,	 2.11496725817690e+00,	 2.11496725817691e+00,	 -1.44225609222069e+01,	
-9.530000,	 3.03637061435914e+00,	 2.10502798260701e+00,	 2.10502798260702e+00,	 -1.44205151471433e+01,	
-9.520000,	 3.04637061435914e+00,	 2.09507820432638e+00,	 2.09507820432639e+00,	 -1.44432810962780e+01,	
-9.510000,	 3.05637061435914e+00,	 2.08511891830456e+00,	 2.08511891830456e+00,	 -1.44412116861426e+01,	
-9.500000,	 3.06637061435914e+00,	 2.07515112046183e+00,	 2.07515112046184e+00,	 -1.44143070029490e+01,	
-9.490000,	 3.07637061435914e+00,	 2.06517580756969e+00,	 2.06517580756970e+00,	 -1.44370378863621e+01,	
-9.480000,	 3.08637061435914e+00,	 2.05519397715110e+00,	 2.05519397715110e+00,	 -1.44349336760232e+01,	
-9.470000,	 3.09637061435914e+00,	 2.04520662738079e+00,	 2.04520662738080e+00,	 -1.44328180488492e+01,	
-9.460000,	 3.10637061435914e+00,	 2.03521475698541e+00,	 2.03521475698542e+00,	 -1.44058675167326e+01,	
-9.450000,	 3.11637061435914e+00,	 2.02521936514368e+00,	 2.02521936514369e+00,	 -1.44285529289424e+01,	
-9.440000,	 3.12637061435914e+00,	 2.01522145138645e+00,	 2.01522145138646e+00,	 -1.44264036349250e+01,	
-9.430000,	 3.13637061435914e+00,	 2.00522201549677e+00,	 2.00522201549678e+00,	 -1.44242433216067e+01,	
-9.420000,	 3.14637061435914e+00,	 1.99522205740989e+00,	 1.99522205740990e+00,	 -1.44094829675133e+01,	
-9.410000,	 3.15637061435914e+00,	 1.98522257711329e+00,	 1.98522257711330e+00,	 -1.43950664793642e+01,	
-9.400000,	 3.16637061435914e+00,	 1.97522457454667e+00,	 1.97522457454667e+00,	 -1.44051082103629e+01,	
-9.390000,	 3.17637061435914e+00,	 1.96522904950194e+00,	 1.96522904950194e+00,	 -1.43906704488974e+01,	
-9.380000,	 3.18637061435914e+00,	 1.95523700152328e+00,	 1.95523700152329e+00,	 -1.44132802648511e+01,	
-9.370000,	 3.19637061435914e+00,	 1.94524942980717e+00,	 1.94524942980718e+00,	 -1.43984670268634e+01,	
-9.360000,	 3.20637061435914e+00,	 1.93526733310246e+00,	 1.93526733310247e+00,	 -1.44088218233626e+01,	
-9.350000,	 3.21637061435914e+00,	 1.92529170961049e+00,	 1.92529170961050e+00,	 -1.43939882709180e+01,	
-9.340000,	 3.22637061435914e+00,	 1.91532355688530e+00,	 1.91532355688531e+00,	 -1.44172879848077e+01,	
-9.330000,	 3.23637061435914e+00,	 1.90536387173386e+00,	 1.90536387173387e+00,	 -1.43894696563279e+01,	
-9.320000,	 3.24637061435914e+00,	 1.89541365011639e+00,	 1.89541365011640e+00,	 -1.43871957341161e+01,	
-9.310000,	 3.25637061435914e+00,	 1.88547388704675e+00,	 1.88547388704675e+00,	 -1.43975013794876e+01,	
-9.300000,	 3.26637061435914e+00,	 1.87554557649296e+00,	 1.87554557649297e+00,	 -1.43826193523179e+01,	
-9.290000,	 3.27637061435914e+00,	 1.86562971127781e+00,	 1.86562971127782e+00,	 -1.43929063070202e+01,	
-9.280000,	 3.28637061435914e+00,	 1.85572728297957e+00,	 1.85572728297957e+00,	 -1.43780058829865e+01,	
-9.270000,	 3.29637061435914e+00,	 1.84583928183279e+00,	 1.84583928183280e+00,	 -1.43882747415789e+01,	
-9.260000,	 3.30637061435914e+00,	 1.83596669662937e+00,	 1.83596669662938e+00,	 -1.43733565292635e+01,	
-9.250000,	 3.31637061435914e+00,	 1.82611051461959e+00,	 1.82611051461960e+00,	 -1.43965728917670e+01,	
-9.240000,	 3.32637061435914e+00,	 1.81627172141344e+00,	 1.81627172141345e+00,	 -1.43812616786978e+01,	
-9.230000,	 3.33637061435914e+00,	 1.80645130088204e+00,	 1.80645130088205e+00,	 -1.43918720928071e+01,	
-9.220000,	 3.34637061435914e+00,	 1.79665023505927e+00,	 1.79665023505927e+00,	 -1.43895093732114e+01,	
-9.210000,	 3.35637061435914e+00,	 1.78686950404353e+00,	 1.78686950404353e+00,	 -1.43871386715738e+01,	
-9.200000,	 3.36637061435914e+00,	 1.77711008589977e+00,	 1.77711008589978e+00,	 -1.43717951891831e+01,	
-9.190000,	 3.37637061435914e+00,	 1.76737295656169e+00,	 1.76737295656170e+00,	 -1.43823740400051e+01,	
-9.180000,	 3.38637061435914e+00,	 1.75765908973410e+00,	 1.75765908973411e+00,	 -1.43799804791044e+01,	
-9.170000,	 3.39637061435914e+00,	 1.74796945679558e+00,	 1.74796945679559e+00,	 -1.43520255698819e+01,	
-9.160000,	 3.40637061435914e+00,	 1.73830502670136e+00,	 1.73830502670137e+00,	 -1.43751718206800e+01,	
-9.150000,	 3.41637061435914e+00,	 1.72866676588639e+00,	 1.72866676588640e+00,	 -1.43727571172899e+01,	
-9.140000,	 3.42637061435914e+00,	 1.71905563816872e+00,	 1.71905563816873e+00,	 -1.43836997292983e+01,	
-9.130000,	 3.43637061435914e+00,	 1.70947260465312e+00,	 1.70947260465312e+00,	 -1.43679079800021e+01,	
-9.120000,	 3.44637061435914e+00,	 1.69991862363494e+00,	 1.69991862363494e+00,	 -1.43654739665261e+01,	
-9.110000,	 3.45637061435914e+00,	 1.69039465050433e+00,	 1.69039465050434e+00,	 -1.43630339443086e+01,	
-9.100000,	 3.46637061435914e+00,	 1.68090163765067e+00,	 1.68090163765068e+00,	 -1.43877403809999e+01,	
-9.090000,	 3.47637061435914e+00,	 1.67144053436733e+00,	 1.67144053436734e+00,	 -1.43581367647518e+01,	
-9.080000,	 3.48637061435914e+00,	 1.66201228675675e+00,	 1.66201228675676e+00,	 -1.43556800647175e+01,	
-9.070000,	 3.49637061435914e+00,	 1.65261783763585e+00,	 1.65261783763585e+00,	 -1.43665822322380e+01,	
-9.060000,	 3.50637061435914e+00,	 1.64325812644169e+00,	 1.64325812644170e+00,	 -1.43641155848912e+01,	
-9.050000,	 3.51637061435914e+00,	 1.63393408913761e+00,	 1.63393408913762e+00,	 -1.44043963102803e+01,	
-9.040000,	 3.52637061435914e+00,	 1.62464665811956e+00,	 1.62464665811956e+00,	 -1.44171606647366e+01,	
-9.030000,	 3.53637061435914e+00,	 1.61539676212290e+00,	 1.61539676212291e+00,	 -1.42385896921819e+01,	
-9.020000,	 3.54637061435914e+00,	 1.60618532612953e+00,	 1.60618532612954e+00,	 -1.42258869728863e+01,	
-9.010000,	 3.55637061435914e+00,	 1.59701327127537e+00,	 1.59701327127538e+00,	 -1.42548083083655e+01,	
-9.000000,	 3.56637061435914e+00,	 1.58788151475826e+00,	 1.58788151475827e+00,	 -1.42415940107306e+01,	
-8.990000,	 3.57637061435914e+00,	 1.57879096974625e+00,	 1.57879096974626e+00,	 -1.42608198011851e+01,	
-8.980000,	 3.58637061435914e+00,	 1.56974254528625e+00,	 1.56974254528626e+00,	 -1.42583235967695e+01,	
-8.970000,	 3.59637061435914e+00,	 1.56073714621318e+00,	 1.56073714621319e+00,	 -1.42786878173524e+01,	
-8.960000,	 3.60637061435914e+00,	 1.55177567305943e+00,	 1.55177567305944e+00,	 -1.42646051171301e+01,	
-8.950000,	 3.61637061435914e+00,	 1.54285902196486e+00,	 1.54285902196487e+00,	 -1.42508214119176e+01,	
-8.940000,	 3.62637061435914e+00,	 1.53398808458715e+00,	 1.53398808458716e+00,	 -1.42595981641085e+01,	
-8.930000,	 3.63637061435914e+00,	 1.52516374801263e+00,	 1.52516374801264e+00,	 -1.42348162570724e+01,	
-8.920000,	 3.64637061435914e+00,	 1.51638689466762e+00,	 1.51638689466763e+00,	 -1.42661680728524e+01,	
-8.910000,	 3.65637061435914e+00,	 1.50765840223013e+00,	 1.50765840223014e+00,	 -1.42636610028480e+01,	
-8.900000,	 3.66637061435914e+00,	 1.49897914354213e+00,	 1.49897914354214e+00,	 -1.42611536406748e+01,	
-8.890000,	 3.67637061435914e+00,	 1.49034998652227e+00,	 1.49034998652228e+00,	 -1.42470644458975e+01,	
-8.880000,	 3.68637061435914e+00,	 1.48177179407904e+00,	 1.48177179407905e+00,	 -1.42680385973736e+01,	
-8.870000,	 3.69637061435914e+00,	 1.47324542402455e+00,	 1.47324542402456e+00,	 -1.42655323745882e+01,	
-8.860000,	 3.70637061435914e+00,	 1.46477172898870e+00,	 1.46477172898871e+00,	 -1.42630272229789e+01,	
-8.850000,	 3.71637061435914e+00,	 1.45635155633393e+00,	 1.45635155633394e+00,	 -1.42605234980132e+01,	
-8.840000,	 3.72637061435914e+00,	 1.44798574807048e+00,	 1.44798574807049e+00,	 -1.42702560174765e+01,	
-8.830000,	 3.73637061435914e+00,	 1.43967514077222e+00,	 1.43967514077223e+00,	 -1.42555217794060e+01,	
-8.820000,	 3.74637061435914e+00,	 1.43142056549295e+00,	 1.43142056549296e+00,	 -1.42530245262743e+01,	
-8.810000,	 3.75637061435914e+00,	 1.42322284768331e+00,	 1.42322284768332e+00,	 -1.42753537645555e+01,	
-8.800000,	 3.76637061435914e+00,	 1.41508280710826e+00,	 1.41508280710826e+00,	 -1.42728627119161e+01,	
-8.790000,	 3.77637061435914e+00,	 1.40700125776506e+00,	 1.40700125776507e+00,	 -1.42703753431499e+01,	
-8.780000,	 3.78637061435914e+00,	 1.39897900780193e+00,	 1.39897900780193e+00,	 -1.42678920552760e+01,	
-8.770000,	 3.79637061435914e+00,	 1.39101685943716e+00,	 1.39101685943717e+00,	 -1.42528241239475e+01,	
-8.760000,	 3.80637061435914e+00,	 1.38311560887897e+00,	 1.38311560887898e+00,	 -1.42629393399800e+01,	
-8.750000,	 3.81637061435914e+00,	 1.37527604624582e+00,	 1.37527604624583e+00,	 -1.42867996749761e+01,	
-8.740000,	 3.82637061435914e+00,	 1.36749895548745e+00,	 1.36749895548746e+00,	 -1.42709728379353e+01,	
-8.730000,	 3.83637061435914e+00,	 1.35978511430645e+00,	 1.35978511430645e+00,	 -1.42555511400870e+01,	
-8.720000,	 3.84637061435914e+00,	 1.35213529408050e+00,	 1.35213529408051e+00,	 -1.42660659837495e+01,	
-8.710000,	 3.85637061435914e+00,	 1.34455025978526e+00,	 1.34455025978527e+00,	 -1.42636228756000e+01,	
-8.700000,	 3.86637061435914e+00,	 1.33703076991783e+00,	 1.33703076991784e+00,	 -1.42745511982722e+01,	
-8.690000,	 3.87637061435914e+00,	 1.32957757642094e+00,	 1.32957757642095e+00,	 -1.42721234782498e+01,	
-8.680000,	 3.88637061435914e+00,	 1.32219142460773e+00,	 1.32219142460774e+00,	 -1.42697041323193e+01,	
-8.670000,	 3.89637061435914e+00,	 1.31487305308721e+00,	 1.31487305308722e+00,	 -1.42672936212724e+01,	
-8.660000,	 3.90637061435914e+00,	 1.30762319369045e+00,	 1.30762319369046e+00,	 -1.42929211349907e+01,	
-8.650000,	 3.91637061435914e+00,	 1.30044257139735e+00,	 1.30044257139735e+00,	 -1.42905296979648e+01,	
-8.640000,	 3.92637061435914e+00,	 1.29333190426414e+00,	 1.29333190426414e+00,	 -1.42881485108078e+01,	
-8.630000,	 3.93637061435914e+00,	 1.28629190335161e+00,	 1.28629190335162e+00,	 -1.42857780557590e+01,	
-8.620000,	 3.94637061435914e+00,	 1.27932327265400e+00,	 1.27932327265400e+00,	 -1.42981420770019e+01,	
-8.610000,	 3.95637061435914e+00,	 1.27242670902855e+00,	 1.27242670902856e+00,	 -1.42957945532705e+01,	
-8.600000,	 3.96637061435914e+00,	 1.26560290212590e+00,	 1.26560290212591e+00,	 -1.43086992052106e+01,	
-8.590000,	 3.97637061435914e+00,	 1.25885253432104e+00,	 1.25885253432105e+00,	 -1.43063766017425e+01,	
-8.580000,	 3.98637061435914e+00,	 1.25217628064512e+00,	 1.25217628064513e+00,	 -1.42888272495299e+01,	
-8.570000,	 3.99637061435914e+00,	 1.24557480871796e+00,	 1.24557480871797e+00,	 -1.43175658265744e+01,	
-8.560000,	 4.00637061435914e+00,	 1.23904877868124e+00,	 1.23904877868125e+00,	 -1.42994901471356e+01,	
-8.550000,	 4.01637061435914e+00,	 1.23259884313253e+00,	 1.23259884313253e+00,	 -1.43130177661516e+01,	
-8.540000,	 4.02637061435914e+00,	 1.22622564706000e+00,	 1.22622564706001e+00,	 -1.43271568219065e+01,	
-8.530000,	 4.03637061435914e+00,	 1.21992982777796e+00,	 1.21992982777796e+00,	 -1.42927365932978e+01,	
-8.520000,	 4.04637061435914e+00,	 1.21371201486308e+00,	 1.21371201486309e+00,	 -1.43397354170153e+01,	
-8.510000,	 4.05637061435914e+00,	 1.20757283009148e+00,	 1.20757283009149e+00,	 -1.43204997595640e+01,	
-8.500000,	 4.06637061435914e+00,	 1.20151288737652e+00,	 1.20151288737653e+00,	 -1.43353481992442e+01,	
-8.490000,	 4.07637061435914e+00,	 1.19553279270742e+00,	 1.19553279270743e+00,	 -1.43331812588928e+01,	
-8.480000,	 4.08637061435914e+00,	 1.18963314408866e+00,	 1.18963314408866e+00,	 -1.43139994820149e+01,	
-8.470000,	 4.09637061435914e+00,	 1.18381453148018e+00,	 1.18381453148019e+00,	 -1.43289034325458e+01,	
-8.460000,	 4.10637061435914e+00,	 1.17807753673841e+00,	 1.17807753673842e+00,	 -1.43445224078756e+01,	
-8.450000,	 4.11637061435914e+00,	 1.17242273355803e+00,	 1.17242273355803e+00,	 -1.43802213246270e+01,	
-8.440000,	 4.12637061435914e+00,	 1.16685068741465e+00,	 1.16685068741465e+00,	 -1.43056017129524e+01,	
-8.430000,	 4.13637061435914e+00,	 1.16136195550823e+00,	 1.16136195550824e+00,	 -1.43383161279039e+01,	
-8.420000,	 4.14637061435914e+00,	 1.15595708670741e+00,	 1.15595708670741e+00,	 -1.43547736503170e+01,	
-8.410000,	 4.15637061435914e+00,	 1.15063662149454e+00,	 1.15063662149455e+00,	 -1.43720752859737e+01,	
-8.400000,	 4.16637061435914e+00,	 1.14540109191173e+00,	 1.14540109191174e+00,	 -1.43700946864956e+01,	
-8.390000,	 4.17637061435914e+00,	 1.14025102150756e+00,	 1.14025102150757e+00,	 -1.43883409497742e+01,	
-8.380000,	 4.18637061435914e+00,	 1.13518692528479e+00,	 1.13518692528479e+00,	 -1.43864078602082e+01,	
-8.370000,	 4.19637061435914e+00,	 1.13020930964881e+00,	 1.13020930964882e+00,	 -1.44056886591674e+01,	
-8.360000,	 4.20637061435914e+00,	 1.12531867235705e+00,	 1.12531867235705e+00,	 -1.43624126188618e+01,	
-8.350000,	 4.21637061435914e+00,	 1.12051550246914e+00,	 1.12051550246915e+00,	 -1.44019476482930e+01,	
-8.340000,	 4.22637061435914e+00,	 1.11580028029810e+00,	 1.11580028029810e+00,	 -1.44001162450357e+01,	
-8.330000,	 4.23637061435914e+00,	 1.11117347736219e+00,	 1.11117347736219e+00,	 -1.44440691360871e+01,	
-8.320000,	 4.24637061435914e+00,	 1.10663555633786e+00,	 1.10663555633786e+00,	 -1.44422918894617e+01,	
